#s	W0^2		W2^2		W4^2		W6^2		W8^2
69.502180 7.761633e-01 -6.707237e-02 2.932885e-02 -9.426551e-03 9.549998e-03
70.502150 7.747866e-01 -6.820091e-02 2.980682e-02 -9.650336e-03 9.690070e-03
71.502100 7.734321e-01 -6.930734e-02 3.005913e-02 -9.848898e-03 9.771805e-03
72.502090 7.721009e-01 -7.044874e-02 3.027223e-02 -1.019470e-02 9.915349e-03
73.502050 7.707222e-01 -7.160939e-02 3.072712e-02 -1.033290e-02 9.962720e-03
74.502030 7.693802e-01 -7.276617e-02 3.107071e-02 -1.061984e-02 1.009678e-02
75.501990 7.680370e-01 -7.394562e-02 3.139058e-02 -1.078779e-02 1.028638e-02
76.501960 7.666950e-01 -7.506814e-02 3.160020e-02 -1.097454e-02 1.044774e-02
77.501930 7.653638e-01 -7.615566e-02 3.198761e-02 -1.127420e-02 1.071319e-02
78.501910 7.640139e-01 -7.739273e-02 3.241724e-02 -1.151174e-02 1.067722e-02
79.501880 7.626832e-01 -7.860079e-02 3.264368e-02 -1.163121e-02 1.102492e-02
80.501850 7.613633e-01 -7.979665e-02 3.294446e-02 -1.178793e-02 1.111009e-02
81.501820 7.599837e-01 -8.092206e-02 3.332382e-02 -1.192222e-02 1.128474e-02
82.501810 7.587253e-01 -8.208206e-02 3.374043e-02 -1.207797e-02 1.153194e-02
83.501780 7.573873e-01 -8.331182e-02 3.401937e-02 -1.218203e-02 1.165347e-02
84.501760 7.560707e-01 -8.439804e-02 3.436806e-02 -1.235246e-02 1.185417e-02
85.501740 7.547407e-01 -8.560295e-02 3.483194e-02 -1.249555e-02 1.200995e-02
86.501710 7.534165e-01 -8.681141e-02 3.520183e-02 -1.266456e-02 1.211253e-02
87.501690 7.521133e-01 -8.802196e-02 3.541448e-02 -1.286544e-02 1.233883e-02
88.501670 7.507980e-01 -8.919979e-02 3.572827e-02 -1.301744e-02 1.227087e-02
89.501650 7.494784e-01 -9.040915e-02 3.613506e-02 -1.309254e-02 1.237711e-02
90.501620 7.481606e-01 -9.164732e-02 3.638061e-02 -1.332879e-02 1.265379e-02
91.501610 7.468711e-01 -9.281190e-02 3.669045e-02 -1.345742e-02 1.272132e-02
92.501590 7.455541e-01 -9.404970e-02 3.708364e-02 -1.350094e-02 1.285371e-02
93.501570 7.442148e-01 -9.519431e-02 3.738596e-02 -1.373937e-02 1.280722e-02
